City,Locality,Restaurant_Count,Avg_Rating,Avg_Cost_INR,Avg_Price_Range,Total_Votes,Most_Common_Cuisine
New Delhi,Alaknanda,32,2.346875,440.625,1.375,1037,North Indian
New Delhi,Mayur Vihar Phase 3,32,1.840625,376.5625,1.28125,423,North Indian
Noida,"DLF Mall of India, Sector 18,  Noida",31,3.8419354838709676,946.7741935483871,2.225806451612903,8277,Fast Food
New Delhi,Vijay Nagar,31,3.606451612903226,488.7096774193548,1.4838709677419355,12271,Chinese
Faridabad,Sector 15,31,3.429032258064516,485.48387096774195,1.4838709677419355,2601,Fast Food
New Delhi,Lodhi Colony,31,3.1838709677419357,838.7096774193549,2.032258064516129,6504,North Indian
Gurgaon,Sector 45,31,1.525806451612903,375.80645161290323,1.3548387096774193,1021,North Indian
Gurgaon,Sushant Lok,30,2.9133333333333336,566.6666666666666,1.7666666666666666,1086,North Indian
Noida,"Logix City Centre, Sector 32, Noida",30,1.9133333333333333,498.3333333333333,1.5666666666666667,289,Fast Food
New Delhi,Mayur Vihar Phase 2,29,2.810344827586207,346.55172413793105,1.2413793103448276,1651,Fast Food
Noida,Sector 15,29,1.596551724137931,375.86206896551727,1.206896551724138,691,North Indian
Noida,Sector 51,28,1.2357142857142858,467.85714285714283,1.6071428571428572,629,North Indian
Gurgaon,Golf Course Road,27,3.559259259259259,990.7407407407408,2.4444444444444446,3443,North Indian
Gurgaon,DLF Phase 1,27,2.855555555555555,579.6296296296297,1.7777777777777777,2658,Fast Food
New Delhi,"Pacific Mall, Tagore Garden",27,2.7222222222222223,587.0370370370371,1.7407407407407407,2182,Fast Food
New Delhi,Shakarpur,27,0.7629629629629631,311.1111111111111,1.1481481481481481,163,North Indian
New Delhi,Shahpur Jat,26,3.715384615384615,776.9230769230769,2.230769230769231,2882,Cafe
New Delhi,"V3S Mall, Laxmi Nagar",26,2.819230769230769,630.7692307692307,1.7692307692307692,2265,North Indian
New Delhi,Jama Masjid,26,2.465384615384615,319.2307692307692,1.1923076923076923,7422,Mughlai
Noida,Sector 27,26,2.1846153846153844,342.3076923076923,1.1538461538461537,584,North Indian
New Delhi,Sarita Vihar,26,1.5,325.0,1.2307692307692308,183,North Indian
New Delhi,"Select Citywalk Mall, Saket",25,3.764,904.0,2.2,9054,Desserts
New Delhi,Model Town 2,25,3.2560000000000002,498.0,1.48,1717,Fast Food
Noida,Sector 37,25,2.9960000000000004,440.0,1.36,2778,Fast Food
Gurgaon,"Unitech Infospace, Sector 21, Gurgaon",25,2.832,502.0,1.64,973,Fast Food
New Delhi,Yusuf Sarai,25,1.9680000000000002,372.0,1.24,931,North Indian
New Delhi,Majnu ka Tila,25,0.496,416.0,1.32,45,Chinese
New Delhi,Hauz Khas Village,24,3.845833333333333,1402.0833333333333,2.7916666666666665,32573,Continental
Gurgaon,"MGF Metropolitan Mall, MG Road",24,3.2416666666666667,835.4166666666666,2.125,3653,North Indian
Gurgaon,MG Road,24,3.1750000000000003,883.3333333333334,2.125,2301,Chinese
New Delhi,Vasant Kunj,23,3.526086956521739,891.304347826087,2.260869565217391,4003,Chinese
New Delhi,Karkardooma,23,3.4826086956521736,717.3913043478261,1.8695652173913044,3233,North Indian
