Dataset,MAE,RMSE,R2
Train,0.1677173001938598,0.24796352208024594,0.9734648563752334
Validation,0.19694513683215423,0.2936990387071231,0.9611250147949074
Test,0.2031519914328904,0.29905546670790883,0.9610284630627691
