Dataset,Exact Match Accuracy,Hamming Loss,Micro Precision,Micro Recall,Micro F1,Macro Precision,Macro Recall,Macro F1,Weighted F1,Sample F1,Average True Labels,Average Predicted Labels
Train,0.529723991507431,0.013952077646345162,0.7739753549424055,0.8607924921793535,0.8150786374215389,0.640721846814425,0.9731670621831234,0.7522371109909444,0.8219182947386389,0.8145105509527711,2.0360934182590236,2.2644828632089777
Validation,0.25336164189667376,0.03346121850982729,0.5256410256410257,0.5472427116262732,0.5362244019962141,0.30409620719289565,0.3732056124080095,0.32531389748706,0.5596773698540881,0.5408981558663086,2.0148619957537157,2.097664543524416
Test,0.24115983026874116,0.03466587260229782,0.5143992055610725,0.539396043040611,0.5266011521518129,0.3164269059977748,0.4237237532984923,0.3473330720111832,0.5479003745944865,0.5281668983224853,2.0374823196605374,2.1364922206506365
