Candidate,Parameters,Mean Micro F1,Micro F1 STD,Mean Macro F1,Mean Sample F1,Mean Hamming Loss,Mean Exact Match Accuracy,Mean Best Threshold,min_cuisine_samples,max_name_features,ngram_max,tfidf_min_df,C
1,"min_cuisine_samples=10, max_name_features=3000, ngram_max=2, tfidf_min_df=2, C=1.0",0.5171433621563267,0.0032175549683934076,0.2963492086896902,0.5326792498211151,0.027690509080172548,0.215684680729488,0.6333333333333333,10,3000,2,2,1.0
2,"min_cuisine_samples=10, max_name_features=5000, ngram_max=2, tfidf_min_df=2, C=0.5",0.49643388300038066,0.003764456250584577,0.2881525587892744,0.5180845697082329,0.02914861030306036,0.20979119596613927,0.65,10,5000,2,2,0.5
3,"min_cuisine_samples=10, max_name_features=3000, ngram_max=2, tfidf_min_df=1, C=0.5",0.49858547334528147,0.003824617444388476,0.2898737215429896,0.5196883733341108,0.02889443949828488,0.211159772190087,0.65,10,3000,2,1,0.5
4,"min_cuisine_samples=30, max_name_features=2000, ngram_max=1, tfidf_min_df=2, C=0.5",0.5289228771074685,0.006234474955464501,0.4277482460959918,0.5433818121450437,0.05551710500296619,0.2265424164524422,0.6333333333333333,30,2000,1,2,0.5
5,"min_cuisine_samples=10, max_name_features=5000, ngram_max=1, tfidf_min_df=2, C=1.0",0.5145031980064592,0.0039053351757429595,0.2978436876925801,0.5289001231377726,0.027436397872239948,0.214947650222409,0.65,10,5000,1,2,1.0
6,"min_cuisine_samples=20, max_name_features=3000, ngram_max=2, tfidf_min_df=1, C=2.0",0.540634508293954,0.0026778085894342656,0.3437315617853656,0.5450055964807577,0.035516009115386805,0.23330886413579457,0.65,20,3000,2,1,2.0
7,"min_cuisine_samples=10, max_name_features=2000, ngram_max=1, tfidf_min_df=1, C=0.5",0.5018264784500439,0.003743997480486039,0.29268397945752994,0.5255662001146045,0.029439921292728075,0.2121075728106022,0.6333333333333333,10,2000,1,1,0.5
8,"min_cuisine_samples=10, max_name_features=5000, ngram_max=1, tfidf_min_df=1, C=0.5",0.5296084338024074,0.00419491879456475,0.32635543435547504,0.546348087090304,0.025640308358248987,0.2444229529850334,0.65,10,5000,1,1,0.5
