Feature,Importance
Longitude,22.61150677849417
Latitude,18.376425556760655
City,12.02224392902692
Cuisines,11.597041066651611
Has Online delivery,9.799552294112898
Average Cost INR,5.29394367918199
Cost Relative To City,5.07321350246534
Log Average Cost INR,4.268900970596128
Cuisine Count,3.4731776234936818
Country Code,3.320029027841775
Average Cost for two,2.587543052927463
Price range,1.4185237358638159
Has Table booking,0.14244569017976508
Is delivering now,0.015453092403683779
