Dataset,MAE,RMSE,R2,Within 0.25 Accuracy,Within 0.50 Accuracy,Rating Scale Accuracy
Train,0.7103866738178103,0.9429554327884838,0.6162678528080714,27.12041884816754,49.02019446522065,85.7922665236438
Validation,0.8229615366570987,1.09158011646781,0.462997362051239,24.84298674110258,43.33565945568737,83.54076926685804
Test,0.8027536424989948,1.0663629114629978,0.5044880807185315,22.819260293091418,44.66154919748779,83.9449271500201
