Threshold,Micro F1,Macro F1,Sample F1,Hamming Loss,Exact Match Accuracy
0.1,0.3205514864282637,0.18631019724819234,0.3455047561833372,0.13706062750648737,0.01132342533616419
0.15,0.36516203703703703,0.21102073955762465,0.39577509662546806,0.1089631367874747,0.02689313517338995
0.2,0.401471790678659,0.232686996452848,0.4357725990633581,0.090885387566581,0.04246284501061571
0.25,0.42805495300072305,0.2458025456992984,0.4631713174194096,0.07856867930619188,0.059447983014861996
0.3,0.45293477184994557,0.25965253251152076,0.48932749562527456,0.06862343402738978,0.08421797593772117
0.35,0.47425561646780606,0.2746801559561645,0.5085410778836925,0.06072683477980159,0.10898796886058032
0.4,0.49421028253821214,0.28525778969059434,0.5250141708952422,0.05423324766268112,0.12880396319886767
0.45,0.5061590145576708,0.2912175469141561,0.5345941615799241,0.04927924907810929,0.15569709837225762
0.5,0.5165261608457112,0.2983830208597398,0.5407052294619423,0.044859140065308355,0.18117480537862704
0.55,0.5288475304223336,0.3076413423461332,0.5475290279430407,0.04086117629530301,0.20169851380042464
0.6,0.5345143555284056,0.31316882944916247,0.5491686991156206,0.03784407941296979,0.22646850672328378
0.65,0.5357839947950553,0.32122362592472836,0.5464694050150526,0.035435368321724336,0.2427459306440198
0.7,0.5362244019962141,0.32531389748706,0.5408981558663086,0.03346121850982729,0.25336164189667376
0.75,0.5287063953488372,0.3188459649429731,0.5337137856246137,0.03220719881799332,0.2653927813163482
0.8,0.5156942037357982,0.3105045239406056,0.5183487032743933,0.0312263319303212,0.2646850672328379
