Dataset,MAE,RMSE,R2,Within 0.25 Accuracy,Within 0.50 Accuracy,Rating Scale Accuracy
Train,0.14448548227762198,0.2210858005413873,0.9789055818499681,79.73074046372476,95.34779356768885,97.11029035444756
Validation,0.19291697682000614,0.29193837909298453,0.9615897113000155,71.66782972784368,90.50942079553384,96.14166046359988
Test,0.1977348784610924,0.29537581099828925,0.9619815946897688,69.92323796231682,90.30006978367062,96.04530243077815
