Dataset,MAE,RMSE,R2,Within 0.25 Accuracy,Within 0.50 Accuracy,Rating Scale Accuracy
Train,0.16823290337009583,0.24947622057845664,0.9731401141924542,74.91398653702319,94.04637247569185,96.63534193259808
Validation,0.19702648114497184,0.29493354812749567,0.9607975203814287,70.83042568039079,91.06769016050245,96.05947037710057
Test,0.20317118844492896,0.2997478865455607,0.9608477881857743,68.66713189113747,89.18353105373342,95.93657623110143
