Dataset,Exact Match Accuracy,Hamming Loss,Micro Precision,Micro Recall,Micro F1,Macro Precision,Macro Recall,Macro F1,Weighted F1,Sample F1,Average True Labels,Average Predicted Labels
Train,0.5400979491888582,0.02050026292450535,0.7876467585502808,0.8236864180584154,0.805263550287035,0.8588991692305151,0.6878454596722603,0.7443250889527209,0.8006296572437464,0.7979456451449106,2.0068870523415976,2.098714416896235
Validation,0.2662384011420414,0.041600322114240744,0.5914848698099929,0.6018617973505191,0.5966282165039929,0.5513216844835005,0.39288788762890525,0.4382589195933491,0.5837272348865522,0.583645512232236,1.993576017130621,2.0285510349750178
Test,0.26409707351891504,0.042497117443584254,0.5852739726027397,0.6060283687943262,0.5954703832752614,0.5507904506748533,0.3911130992629073,0.428069140453073,0.5772036447494903,0.5795851860091689,2.012847965738758,2.0842255531763025
