Dataset,MAE,RMSE,R2,Within 0.25 Accuracy,Within 0.50 Accuracy,Rating Scale Accuracy
Train,0.1677173001938598,0.24796352208024594,0.9734648563752334,75.03365744203441,94.07629020194466,96.6456539961228
Validation,0.19694513683215423,0.2936990387071231,0.9611250147949074,70.69085833914865,90.71877180739708,96.06109726335691
Test,0.2031519914328904,0.29905546670790883,0.9610284630627691,68.73691556175855,89.81158408932309,95.93696017134219
