Threshold,Micro F1,Macro F1,Sample F1,Hamming Loss,Exact Match Accuracy
0.1,0.5450809144618546,0.43721473824381535,0.557103619580002,0.06482549094968795,0.14275517487508924
0.15,0.5727631002773318,0.44964776914965715,0.5761743570094748,0.05356979446915207,0.19129193433261957
0.2,0.5883473567232894,0.45298244892505224,0.5875043823651961,0.047456944673218766,0.21984296930763741
0.25,0.5954353338968723,0.44766653803298767,0.5870028337908424,0.043796555573857504,0.24839400428265523
0.3,0.5966282165039929,0.4382589195933491,0.583645512232236,0.041600322114240744,0.2662384011420414
0.35,0.5961361545538179,0.4330783931661023,0.5816080659763744,0.04017277036548985,0.28051391862955033
0.4,0.5925080813842936,0.4199478846903507,0.5749580976561705,0.03922106919965592,0.28122769450392576
0.45,0.5910693301997649,0.4139882482873712,0.5729697220061245,0.03821446219733158,0.29336188436830835
0.5,0.5812688821752265,0.39338039042910206,0.5649578710606548,0.03804974468786032,0.2940756602426838
0.55,0.5734352406527577,0.3836759698628156,0.5587417460008467,0.037793517450905034,0.29764453961456105
0.6,0.568,0.37730809012479144,0.5533288426222045,0.03755559215944655,0.3012134189864383
0.65,0.5566523605150214,0.35856620580247867,0.5459671425410183,0.03781181939640184,0.29621698786581013
0.7,0.5481481481481482,0.3423052369670924,0.5402261391554753,0.037958234960376286,0.2926481084939329
0.75,0.5403493256688039,0.3231121589524949,0.5358770739927057,0.03804974468786032,0.2890792291220557
0.8,0.528632382663373,0.31503535730836757,0.5284911931592874,0.038415783597796446,0.2833690221270521
